business_id,name,latitude,longitude,stars,review_count,is_open
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ",34.4266787,-119.7111968,5.0,7,0
mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,38.551126,-90.335695,3.0,15,1
tUFrWirKiKi_TAnsVWINQQ,Target,32.223236,-110.880452,3.5,22,0
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,39.9555052,-75.1555641,4.0,80,1
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,40.3381827,-75.4716585,4.5,13,1
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,36.269593,-87.058943,2.0,6,1
n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,38.627695,-90.340465,2.5,13,1
qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,27.76659,-82.732983,3.5,5,1
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,38.5651648,-90.3210868,3.0,19,0
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,36.2081024,-86.7681696,1.5,10,1
UJsufbvfyfONHeWdvAHKjA,Marshalls,28.1904587953,-82.4573802199,3.5,6,1
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,27.9552692,-82.4563199,4.0,10,1
il_Ro8jwPlHresjw9EGmBg,Denny's,39.6371332838,-86.127217412,2.5,28,1
jaxMSoInw8Poo3XeMJt8lQ,Adams Dental,27.966235,-82.787412,5.0,10,1
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,27.9161159,-82.7604608,4.5,100,0
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,39.953949,-75.1432262,4.0,245,1
rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,32.2298719,-110.9723419,4.5,10,1
M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,29.9414679565,-90.129952757,4.0,5,1
8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,29.981183,-90.2540123,3.5,14,1
ROeacJQwBeh05Rqg7F6TCg,BAP,39.943223,-75.162568,4.5,205,1
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,53.5460453,-113.4991693,4.0,40,0
qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers,39.91382,-86.105739,4.0,38,1
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,39.9043203184,-86.0530799,4.0,20,1
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,39.4761165,-119.7893392,2.5,339,1
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,36.2485696,-86.7199857,4.0,6,0
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,40.2734926,-74.987496,5.0,15,1
