category,business_id,stars
Doctors,Pns2l4eNsfO8kk83dixA6A,5.0
Traditional Chinese Medicine,Pns2l4eNsfO8kk83dixA6A,5.0
Naturopathic/Holistic,Pns2l4eNsfO8kk83dixA6A,5.0
Acupuncture,Pns2l4eNsfO8kk83dixA6A,5.0
Health & Medical,Pns2l4eNsfO8kk83dixA6A,5.0
Nutritionists,Pns2l4eNsfO8kk83dixA6A,5.0
Shipping Centers,mpf3x-BjTdTEA3yCZrAYPw,3.0
Local Services,mpf3x-BjTdTEA3yCZrAYPw,3.0
Notaries,mpf3x-BjTdTEA3yCZrAYPw,3.0
Mailbox Centers,mpf3x-BjTdTEA3yCZrAYPw,3.0
Printing Services,mpf3x-BjTdTEA3yCZrAYPw,3.0
Department Stores,tUFrWirKiKi_TAnsVWINQQ,3.5
Shopping,tUFrWirKiKi_TAnsVWINQQ,3.5
Fashion,tUFrWirKiKi_TAnsVWINQQ,3.5
Home & Garden,tUFrWirKiKi_TAnsVWINQQ,3.5
Electronics,tUFrWirKiKi_TAnsVWINQQ,3.5
Furniture Stores,tUFrWirKiKi_TAnsVWINQQ,3.5
Restaurants,MTSW4McQd7CbVtyjqoe9mw,4.0
Food,MTSW4McQd7CbVtyjqoe9mw,4.0
Bubble Tea,MTSW4McQd7CbVtyjqoe9mw,4.0
Coffee & Tea,MTSW4McQd7CbVtyjqoe9mw,4.0
Bakeries,MTSW4McQd7CbVtyjqoe9mw,4.0
Brewpubs,mWMc6_wTdE0EUBKIGXDVfA,4.5
Breweries,mWMc6_wTdE0EUBKIGXDVfA,4.5
Food,mWMc6_wTdE0EUBKIGXDVfA,4.5
Burgers,CF33F8-E6oudUQ46HnavjQ,2.0
Fast Food,CF33F8-E6oudUQ46HnavjQ,2.0
Sandwiches,CF33F8-E6oudUQ46HnavjQ,2.0
Food,CF33F8-E6oudUQ46HnavjQ,2.0
Ice Cream & Frozen Yogurt,CF33F8-E6oudUQ46HnavjQ,2.0
Restaurants,CF33F8-E6oudUQ46HnavjQ,2.0
Sporting Goods,n_0UpQx1hsNbnPUSlodU8w,2.5
Fashion,n_0UpQx1hsNbnPUSlodU8w,2.5
Shoe Stores,n_0UpQx1hsNbnPUSlodU8w,2.5
Shopping,n_0UpQx1hsNbnPUSlodU8w,2.5
