category,business_id,stars
Doctors,Pns2l4eNsfO8kk83dixA6A,5
Traditional Chinese Medicine,Pns2l4eNsfO8kk83dixA6A,5
Naturopathic/Holistic,Pns2l4eNsfO8kk83dixA6A,5
Acupuncture,Pns2l4eNsfO8kk83dixA6A,5
Health & Medical,Pns2l4eNsfO8kk83dixA6A,5
Nutritionists,Pns2l4eNsfO8kk83dixA6A,5
Shipping Centers,mpf3x-BjTdTEA3yCZrAYPw,3
Local Services,mpf3x-BjTdTEA3yCZrAYPw,3
Notaries,mpf3x-BjTdTEA3yCZrAYPw,3
Mailbox Centers,mpf3x-BjTdTEA3yCZrAYPw,3
Printing Services,mpf3x-BjTdTEA3yCZrAYPw,3
Department Stores,tUFrWirKiKi_TAnsVWINQQ,3.5
Shopping,tUFrWirKiKi_TAnsVWINQQ,3.5
Fashion,tUFrWirKiKi_TAnsVWINQQ,3.5
Home & Garden,tUFrWirKiKi_TAnsVWINQQ,3.5
Electronics,tUFrWirKiKi_TAnsVWINQQ,3.5
Furniture Stores,tUFrWirKiKi_TAnsVWINQQ,3.5
Restaurants,MTSW4McQd7CbVtyjqoe9mw,4
Food,MTSW4McQd7CbVtyjqoe9mw,4
Bubble Tea,MTSW4McQd7CbVtyjqoe9mw,4
Coffee & Tea,MTSW4McQd7CbVtyjqoe9mw,4
Bakeries,MTSW4McQd7CbVtyjqoe9mw,4
Brewpubs,mWMc6_wTdE0EUBKIGXDVfA,4.5
Breweries,mWMc6_wTdE0EUBKIGXDVfA,4.5
Food,mWMc6_wTdE0EUBKIGXDVfA,4.5
Burgers,CF33F8-E6oudUQ46HnavjQ,2
Fast Food,CF33F8-E6oudUQ46HnavjQ,2
Sandwiches,CF33F8-E6oudUQ46HnavjQ,2
Food,CF33F8-E6oudUQ46HnavjQ,2
Ice Cream & Frozen Yogurt,CF33F8-E6oudUQ46HnavjQ,2
Restaurants,CF33F8-E6oudUQ46HnavjQ,2
Sporting Goods,n_0UpQx1hsNbnPUSlodU8w,2.5
Fashion,n_0UpQx1hsNbnPUSlodU8w,2.5
Shoe Stores,n_0UpQx1hsNbnPUSlodU8w,2.5
Shopping,n_0UpQx1hsNbnPUSlodU8w,2.5
Sports Wear,n_0UpQx1hsNbnPUSlodU8w,2.5
Accessories,n_0UpQx1hsNbnPUSlodU8w,2.5
Synagogues,qkRM_2X51Yqxk3btlwAQIg,3.5
Religious Organizations,qkRM_2X51Yqxk3btlwAQIg,3.5
Pubs,k0hlBqXX-Bt0vf1op7Jr1w,3
Restaurants,k0hlBqXX-Bt0vf1op7Jr1w,3
Italian,k0hlBqXX-Bt0vf1op7Jr1w,3
Bars,k0hlBqXX-Bt0vf1op7Jr1w,3
American (Traditional),k0hlBqXX-Bt0vf1op7Jr1w,3
Nightlife,k0hlBqXX-Bt0vf1op7Jr1w,3
Greek,k0hlBqXX-Bt0vf1op7Jr1w,3
Ice Cream & Frozen Yogurt,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Fast Food,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Burgers,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Restaurants,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Food,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Department Stores,UJsufbvfyfONHeWdvAHKjA,3.5
Shopping,UJsufbvfyfONHeWdvAHKjA,3.5
Fashion,UJsufbvfyfONHeWdvAHKjA,3.5
Vietnamese,eEOYSgkmpB90uNA7lDOMRA,4
Food,eEOYSgkmpB90uNA7lDOMRA,4
Restaurants,eEOYSgkmpB90uNA7lDOMRA,4
Food Trucks,eEOYSgkmpB90uNA7lDOMRA,4
American (Traditional),il_Ro8jwPlHresjw9EGmBg,2.5
Restaurants,il_Ro8jwPlHresjw9EGmBg,2.5
Diners,il_Ro8jwPlHresjw9EGmBg,2.5
Breakfast & Brunch,il_Ro8jwPlHresjw9EGmBg,2.5
General Dentistry,jaxMSoInw8Poo3XeMJt8lQ,5
