business_id,name,stars,review_count
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ",5,7
mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,3,15
tUFrWirKiKi_TAnsVWINQQ,Target,3.5,22
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,4,80
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,4.5,13
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,2,6
n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,2.5,13
qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,3.5,5
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,3,19
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,1.5,10
UJsufbvfyfONHeWdvAHKjA,Marshalls,3.5,6
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,4,10
il_Ro8jwPlHresjw9EGmBg,Denny's,2.5,28
jaxMSoInw8Poo3XeMJt8lQ,Adams Dental,5,10
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,4.5,100
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,4,245
rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,4.5,10
M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,4,5
8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,3.5,14
ROeacJQwBeh05Rqg7F6TCg,BAP,4.5,205
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,4,40
qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers,4,38
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,4,20
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,2.5,339
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,4,6
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,5,15
noByYNtDLQAra9ccqxdfDw,H&M,3,24
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,4,161
QdN72BWoyFypdGJhhI5r7g,Bar One,4,65
